1460,6.0,2.5,78.5,21.0,7.0,0.0,0.0,0.0
684,5.0,2.5,81.0,13.0,7.0,0.0,0.0,0.0
501,4.0,3.0,87.0,6.0,2.0,0.0,0.0,0.0
351,4.0,1.5,87.0,10.0,2.0,0.0,0.0,0.0
260,5.0,2.5,81.0,11.0,1.0,0.0,0.0,0.0
116,4.5,2.0,81.0,10.0,1.0,0.0,0.0,0.0
65,5.0,2.0,78.5,16.0,1.0,0.0,0.0,0.0
30,5.0,1.0,76.0,19.0,1.0,0.0,0.0,0.0
24,5.0,1.5,76.0,17.0,1.0,0.0,0.0,0.0
40,4.0,0.0,72.5,18.0,1.0,0.0,0.0,0.0
123,4.0,0.0,65.0,19.5,1.0,0.0,0.0,0.0
700,4.0,0.0,65.0,18.5,1.0,0.0,0.0,0.0
2333,4.5,0.5,63.0,19.5,1.0,0.0,0.0,0.0
4413,5.5,1.5,63.5,22.0,2.0,0.0,0.0,0.0
2055,6.0,2.0,63.5,24.0,2.0,0.0,0.0,0.0
1038,7.0,3.0,59.0,23.0,2.0,0.0,0.0,0.0
920,8.0,4.0,50.0,26.0,7.0,0.0,0.0,0.0
1040,8.5,5.0,48.0,25.0,10.0,0.0,0.0,0.0
974,8.0,5.0,53.5,18.0,10.0,0.0,0.0,0.0
819,8.0,5.0,53.0,19.5,10.0,0.0,0.0,0.0
1014,8.5,4.5,45.0,27.5,2.0,0.0,0.0,0.0
1585,9.0,5.5,41.5,24.0,2.0,0.0,0.0,0.0
3269,9.5,6.5,41.5,22.0,7.0,0.0,0.0,0.0
2906,8.0,4.0,49.5,26.0,7.0,0.0,0.0,0.0
1726,7.0,3.0,59.0,26.0,2.0,0.0,0.0,0.0
1023,6.0,2.0,66.0,22.0,2.0,0.0,0.0,0.0
658,6.0,3.0,66.0,19.0,1.0,0.0,0.0,0.0
447,5.0,1.0,70.0,21.0,1.0,0.0,0.0,0.0
310,5.0,1.0,73.0,20.0,7.0,0.0,0.0,0.0
135,5.0,1.0,76.0,19.0,2.0,0.0,0.0,0.0
55,5.0,1.0,76.0,19.5,1.0,0.0,0.0,0.0
32,4.0,0.5,81.0,16.0,1.0,0.0,0.0,0.0
27,4.0,1.0,81.0,13.0,1.0,0.0,0.0,0.0
44,4.0,1.0,81.0,14.0,1.0,0.0,0.0,0.0
96,4.0,1.0,78.0,14.0,1.0,0.0,0.0,0.0
672,3.5,-0.5,78.0,16.0,2.0,0.0,0.0,0.0
2313,4.0,0.5,75.0,17.0,2.0,0.0,0.0,0.0
4294,5.5,2.5,71.0,16.0,1.0,0.0,0.0,0.0
2091,7.0,4.0,61.0,15.0,2.0,0.0,0.0,0.0
1022,7.5,4.5,57.0,19.0,2.0,0.0,0.0,0.0
842,8.0,5.0,48.0,19.5,2.0,0.0,0.0,0.0
1142,9.5,7.0,43.0,18.5,7.0,0.0,0.0,0.0
1118,10.0,9.0,36.0,8.0,7.0,0.0,0.0,0.0
1073,10.5,9.5,36.0,10.0,7.0,0.0,0.0,0.0
1254,10.5,10.0,36.0,6.5,2.0,0.0,0.0,0.0
1774,10.5,9.5,34.5,14.0,7.0,0.0,0.0,0.0
3375,8.0,5.0,53.5,18.5,7.0,0.0,0.0,0.0
3125,9.0,8.0,44.5,7.5,7.0,0.0,0.0,0.0
1854,8.5,7.0,49.5,9.0,7.0,0.0,0.0,0.0
934,5.5,3.0,73.0,14.0,7.0,0.0,0.0,0.0
